GEO_ID,id_Fix,NAME,percent_Rent,percent_Own,Rent_MOE,Own_MOE
id,id_Fix,Geographic Area Name,percent_Rent,percent_Own,Rent_MOE,Own_MOE
1400000US16027020100,16027020100,"Census Tract 201, Canyon County, Idaho",70.46728972,29.53271028,13.64485981,10.8411215
1400000US16027020200,16027020200,"Census Tract 202, Canyon County, Idaho",65.10948905,34.89051095,8.97810219,8.540145985
1400000US16027020300,16027020300,"Census Tract 203, Canyon County, Idaho",58.84286654,41.15713346,9.59894806,7.166337936
1400000US16027020401,16027020401,"Census Tract 204.01, Canyon County, Idaho",36.37312913,63.62687087,7.309432649,7.761921337
1400000US16027020402,16027020402,"Census Tract 204.02, Canyon County, Idaho",33.75328084,66.24671916,8.818897638,9.028871391
1400000US16027020501,16027020501,"Census Tract 205.01, Canyon County, Idaho",21.88254224,78.11745776,8.286403862,9.654062751
1400000US16027020503,16027020503,"Census Tract 205.03, Canyon County, Idaho",25.75150301,74.24849699,9.418837675,9.318637275
1400000US16027020504,16027020504,"Census Tract 205.04, Canyon County, Idaho",70.99009901,29.00990099,9.851485149,6.534653465
1400000US16027020601,16027020601,"Census Tract 206.01, Canyon County, Idaho",25.22697795,74.77302205,7.522697795,8.625162127
1400000US16027020602,16027020602,"Census Tract 206.02, Canyon County, Idaho",34.80987848,65.19012152,9.055272442,6.938455508
1400000US16027020700,16027020700,"Census Tract 207, Canyon County, Idaho",8.284023669,91.71597633,6.50887574,8.453085376
1400000US16027020901,16027020901,"Census Tract 209.01, Canyon County, Idaho",10.19405551,89.80594449,3.684598379,4.986489806
1400000US16027020902,16027020902,"Census Tract 209.02, Canyon County, Idaho",16.58648339,83.41351661,4.994272623,6.345933562
1400000US16027021001,16027021001,"Census Tract 210.01, Canyon County, Idaho",24.09197805,75.90802195,6.79383329,8.25712046
1400000US16027021002,16027021002,"Census Tract 210.02, Canyon County, Idaho",28.22222222,71.77777778,5.650793651,8.412698413
1400000US16027021100,16027021100,"Census Tract 211, Canyon County, Idaho",29.58171626,70.41828374,5.907718844,6.856403622
1400000US16027021200,16027021200,"Census Tract 212, Canyon County, Idaho",33.49534224,66.50465776,8.707978939,8.829485622
1400000US16027021300,16027021300,"Census Tract 213, Canyon County, Idaho",64.29378531,35.70621469,15.25423729,12.65536723
1400000US16027021500,16027021500,"Census Tract 215, Canyon County, Idaho",56.62198391,43.37801609,8.847184987,7.45308311
1400000US16027021600,16027021600,"Census Tract 216, Canyon County, Idaho",42.53910951,57.46089049,8.784596871,10.40914561
1400000US16027021700,16027021700,"Census Tract 217, Canyon County, Idaho",26.98066975,73.01933025,6.125782739,6.370814048
1400000US16027021800,16027021800,"Census Tract 218, Canyon County, Idaho",13.26579836,86.73420164,4.100337675,6.898215147
1400000US16027021901,16027021901,"Census Tract 219.01, Canyon County, Idaho",30.4631829,69.5368171,7.244655582,11.99524941
1400000US16027021903,16027021903,"Census Tract 219.03, Canyon County, Idaho",11.64021164,88.35978836,5.104263928,5.726735138
1400000US16027021904,16027021904,"Census Tract 219.04, Canyon County, Idaho",26.63316583,73.36683417,7.738693467,9.648241206
1400000US16027022100,16027022100,"Census Tract 221, Canyon County, Idaho",26.6584005,73.3415995,6.199628022,7.625542467
1400000US16027022200,16027022200,"Census Tract 222, Canyon County, Idaho",27.28418399,72.71581601,5.608065532,6.93131695
1400000US16027022300,16027022300,"Census Tract 223, Canyon County, Idaho",20.3109328,79.6890672,5.065195587,6.720160481
1400000US16027022400,16027022400,"Census Tract 224, Canyon County, Idaho",10.94890511,89.05109489,4.711347047,7.631055076
1400000US16075960100,16075960100,"Census Tract 9601, Payette County, Idaho",30.57142857,69.42857143,9.523809524,9.095238095
