GEO_ID,NAME,id_Fix,Rent,HOC,MedianincHH,RN_income,median_inc_rent,median_inc_mort,RN_income_rent,RN_income_mort,MOE_Rent,MOE_HOC,MOE_MedianHH
id,Geographic Area Name,id_Fix,Rent,HOC,MedianincHH,RN_income,median_inc_rent,median_inc_mort,RN_income_rent,RN_income_mort,MOE_Rent,MOE_HOC,MOE_MedianHH
1400000US16027020100,"Census Tract 201, Canyon County, Idaho",16027020100,5232,6012,18622,"54,930",28.09580067,63.27999141,9.524849809,21.45275806,348,996,5622
1400000US16027020200,"Census Tract 202, Canyon County, Idaho",16027020200,7464,8676,26607,"54,930",28.05276807,32.60796031,13.58820317,15.79464773,516,888,5609
1400000US16027020300,"Census Tract 203, Canyon County, Idaho",16027020300,8532,10092,30593,"54,930",27.88873272,32.98793842,15.5324959,18.37247406,444,768,4941
1400000US16027020401,"Census Tract 204.01, Canyon County, Idaho",16027020401,9396,11820,40339,"54,930",23.29259526,29.30166836,17.10540688,21.51829601,720,1128,4024
1400000US16027020402,"Census Tract 204.02, Canyon County, Idaho",16027020402,8688,11508,46563,"54,930",18.65859159,24.71490239,15.81649372,20.95030038,1872,1416,9033
1400000US16027020501,"Census Tract 205.01, Canyon County, Idaho",16027020501,11460,11664,43482,"54,930",26.35573341,26.82489306,20.86291644,21.2342982,468,1656,10576
1400000US16027020503,"Census Tract 205.03, Canyon County, Idaho",16027020503,7776,13224,46646,"54,930",16.67023968,28.34969772,14.1561988,24.07427635,2304,2100,10159
1400000US16027020504,"Census Tract 205.04, Canyon County, Idaho",16027020504,7884,10284,26199,"54,930",30.09275163,39.25340662,14.35281267,18.72200983,612,744,3483
1400000US16027020601,"Census Tract 206.01, Canyon County, Idaho",16027020601,11424,13716,44643,"54,930",25.58967811,30.72374168,20.79737848,24.96996177,1188,1128,4207
1400000US16027020602,"Census Tract 206.02, Canyon County, Idaho",16027020602,8100,9336,34018,"54,930",23.81092363,27.4442942,14.74604042,16.99617695,1284,1140,8847
1400000US16027020700,"Census Tract 207, Canyon County, Idaho",16027020700,7716,14076,53090,"54,930",14.53381051,26.5134677,14.04696887,25.62534134,1980,2388,7128
1400000US16027020901,"Census Tract 209.01, Canyon County, Idaho",16027020901,12912,14940,61703,"54,930",20.92604898,24.21276113,23.50628072,27.19825232,1104,948,4361
1400000US16027020902,"Census Tract 209.02, Canyon County, Idaho",16027020902,12252,14376,59556,"54,930",20.57223454,24.13862583,22.3047515,26.17149099,984,876,6377
1400000US16027021001,"Census Tract 210.01, Canyon County, Idaho",16027021001,10872,11736,42538,"54,930",25.55832432,27.58944943,19.79246313,21.36537411,864,984,2649
1400000US16027021002,"Census Tract 210.02, Canyon County, Idaho",16027021002,8880,7500,38487,"54,930",23.07272586,19.48709954,16.16602949,13.65374113,1776,2316,3002
1400000US16027021100,"Census Tract 211, Canyon County, Idaho",16027021100,11520,13956,53182,"54,930",21.66146441,26.24196157,20.97214637,25.40688149,924,540,3638
1400000US16027021200,"Census Tract 212, Canyon County, Idaho",16027021200,8508,8796,33088,"54,930",25.71324952,26.58365571,15.48880393,16.01310759,1344,1884,6125
1400000US16027021300,"Census Tract 213, Canyon County, Idaho",16027021300,6588,7620,26862,"54,930",24.5253518,28.36721019,11.9934462,13.87220098,2100,2232,1929
1400000US16027021500,"Census Tract 215, Canyon County, Idaho",16027021500,6924,8640,26257,"54,930",26.37011083,32.90551091,12.60513381,15.72910978,708,684,2442
1400000US16027021600,"Census Tract 216, Canyon County, Idaho",16027021600,7272,8856,34145,"54,930",21.29740811,25.9364475,13.23866739,16.12233752,972,1644,3287
1400000US16027021700,"Census Tract 217, Canyon County, Idaho",16027021700,8316,10488,40877,"54,930",20.34395871,25.65746019,15.13926816,19.09339159,744,1056,5151
1400000US16027021800,"Census Tract 218, Canyon County, Idaho",16027021800,8436,13116,56375,"54,930",14.96407982,23.26563193,15.35772802,23.87766248,2016,1032,5060
1400000US16027021901,"Census Tract 219.01, Canyon County, Idaho",16027021901,8304,12468,35463,"54,930",23.41595466,35.15777007,15.11742217,22.69797925,888,936,4188
1400000US16027021903,"Census Tract 219.03, Canyon County, Idaho",16027021903,10692,15576,66382,"54,930",16.10677593,23.4641921,19.46477335,28.35608957,9360,1752,9611
1400000US16027021904,"Census Tract 219.04, Canyon County, Idaho",16027021904,4152,11376,36908,"54,930",11.24959358,30.82258589,7.558711087,20.70999454,2532,996,10020
1400000US16027022100,"Census Tract 221, Canyon County, Idaho",16027022100,7704,9480,32217,"54,930",23.91284105,29.42545861,14.02512288,17.25832878,972,936,7418
1400000US16027022200,"Census Tract 222, Canyon County, Idaho",16027022200,6480,10788,44778,"54,930",14.4713922,24.09218813,11.79683233,19.63954123,804,972,4693
1400000US16027022300,"Census Tract 223, Canyon County, Idaho",16027022300,8856,11976,51393,"54,930",17.23191874,23.30278443,16.12233752,21.80229383,2160,1476,6654
1400000US16027022400,"Census Tract 224, Canyon County, Idaho",16027022400,5784,15072,53306,"54,930",10.85056091,28.27449068,10.52976516,27.43855816,3012,2616,8646
1400000US16075960100,"Census Tract 9601, Payette County, Idaho",16075960100,7272,9504,43863,"54,930",16.57889337,21.66746461,13.23866739,17.30202075,1296,1152,6123
1400000US16075960200,"Census Tract 9602, Payette County, Idaho",16075960200,7932,9384,35536,"54,930",22.32102656,26.40702386,14.44019661,17.0835609,924,1380,7897
1400000US16075960300,"Census Tract 9603, Payette County, Idaho",16075960300,9012,12180,48549,"54,930",18.56268924,25.08805537,16.40633534,22.17367559,2580,1020,7724
1400000US16075960400,"Census Tract 9604, Payette County, Idaho",16075960400,7728,8964,46863,"54,930",16.4906216,19.12809679,14.06881486,16.31895139,2484,888,5287
1400000US16087970100,"Census Tract 9701, Washington County, Idaho",16087970100,6300,7524,35500,"54,930",17.74647887,21.1943662,11.46914255,13.6974331,1728,1824,5809
1400000US16087970200,"Census Tract 9702, Washington County, Idaho",16087970200,7260,10716,42386,"54,930",17.12829708,25.28193271,13.21682141,19.50846532,984,1608,9211
1400000US16087970300,"Census Tract 9703, Washington County, Idaho",16087970300,6360,8556,36034,"54,930",17.64999722,23.74424155,11.57837247,15.57618788,804,996,4722
1400000US41045940000,"Census Tract 9400, Malheur County, Oregon",41045940000,na,na,-,na,na,na,na,na,na,na,na
1400000US41045970200,"Census Tract 9702, Malheur County, Oregon",41045970200,7908,9384,46163,"66,650",17.13060243,20.32796829,11.86496624,14.07951988,4332,2292,5142
1400000US41045970300,"Census Tract 9703, Malheur County, Oregon",41045970300,6456,8592,34762,"66,650",18.57200391,24.71664461,9.686421605,12.89122281,780,2340,5133
1400000US41045970400,"Census Tract 9704, Malheur County, Oregon",41045970400,6948,7668,24067,"66,650",28.86940624,31.86105456,10.42460615,11.50487622,588,2664,4708
1400000US41045970500,"Census Tract 9705, Malheur County, Oregon",41045970500,6480,8076,44375,"66,650",14.6028169,18.19943662,9.722430608,12.11702926,1752,1164,6714
1400000US41045970600,"Census Tract 9706, Malheur County, Oregon",41045970600,7968,10272,40658,"66,650",19.59761916,25.26440061,11.95498875,15.41185296,408,1428,5543
1400000US41045970700,"Census Tract 9707, Malheur County, Oregon",41045970700,6396,8856,39750,"66,650",16.09056604,22.27924528,9.5963991,13.28732183,1176,2028,5258
1400000US41045970900,"Census Tract 9709, Malheur County, Oregon",41045970900,7356,7428,46500,"66,650",15.81935484,15.97419355,11.03675919,11.1447862,444,2076,4677
