GEO_ID,NAME,id_Fix,Rent,HOC,MedianincHH,RN_income,median_inc_rent,median_inc_mort,RN_income_rent,RN_income_mort,MOE_Rent,MOE_HOC,MOE_MedianHH
id,Geographic Area Name,id_Fix,Rent,HOC,MedianincHH,RN_income,median_inc_rent,median_inc_mort,RN_income_rent,RN_income_mort,MOE_Rent,MOE_HOC,MOE_MedianHH
0500000US16027,"Canyon County, Idaho",16027,8520,11700,43218,"54,310",19.71400805,27.07205331,15.68771865,21.54299392,252,228,1170
0500000US16075,"Payette County, Idaho",16075,7260,9792,43559,"54,310",16.66704929,22.47985491,13.36770392,18.02982876,480,696,2869
0500000US16087,"Washington County, Idaho",16087,6240,8172,36542,"54,310",17.07624104,22.36330797,11.48959676,15.04695268,600,600,3440
0500000US41045,"Malheur County, Oregon",41045,6636,8712,39144,"63,730",16.9527897,22.25628449,10.41267849,13.67017103,384,528,2688
