GEO_ID,NAME,id_Fix,Rent,HOC,MedianincHH,RN_income,median_inc_rent,median_inc_mort,RN_income_rent,RN_income_mort,MOE_Rent,MOE_HOC,MOE_MedianHH
id,Geographic Area Name,id_Fix,Rent,HOC,MedianincHH,RN_income,median_inc_rent,median_inc_mort,RN_income_rent,RN_income_mort,MOE_Rent,MOE_HOC,MOE_MedianHH
1400000US16027020100,"Census Tract 201, Canyon County, Idaho",16027020100,5748,11616,18815,"56,840",30.55009301,61.73797502,10.11259676,20.43631246,564,888,2731
1400000US16027020200,"Census Tract 202, Canyon County, Idaho",16027020200,7428,8904,22888,"56,840",32.45368752,38.90248165,13.06826179,15.66502463,408,1812,3795
1400000US16027020300,"Census Tract 203, Canyon County, Idaho",16027020300,8304,10440,29296,"56,840",28.34516658,35.63626434,14.60942998,18.36734694,1140,1260,1923
1400000US16027020401,"Census Tract 204.01, Canyon County, Idaho",16027020401,9756,11040,35671,"56,840",27.34994814,30.94951081,17.16396904,19.42294159,708,1284,4325
1400000US16027020402,"Census Tract 204.02, Canyon County, Idaho",16027020402,8628,10800,39345,"56,840",21.92908883,27.44948532,15.17945109,19.00070373,708,1116,7415
1400000US16027020501,"Census Tract 205.01, Canyon County, Idaho",16027020501,11412,10284,45218,"56,840",25.23773718,22.74315538,20.07741027,18.09289233,216,1152,7008
1400000US16027020503,"Census Tract 205.03, Canyon County, Idaho",16027020503,7920,12384,43409,"56,840",18.24506439,28.52864613,13.9338494,21.78747361,768,3216,10914
1400000US16027020504,"Census Tract 205.04, Canyon County, Idaho",16027020504,7764,9396,25192,"56,840",30.81930772,37.29755478,13.65939479,16.53061224,576,708,4805
1400000US16027020601,"Census Tract 206.01, Canyon County, Idaho",16027020601,11580,12780,44959,"56,840",25.75680064,28.42589915,20.37297678,22.48416608,1212,996,4080
1400000US16027020602,"Census Tract 206.02, Canyon County, Idaho",16027020602,7836,9192,30750,"56,840",25.48292683,29.89268293,13.78606615,16.17171006,1404,1068,7592
1400000US16027020700,"Census Tract 207, Canyon County, Idaho",16027020700,8496,13092,54959,"56,840",15.45879656,23.82139413,14.94722027,23.0330753,4236,2160,10321
1400000US16027020901,"Census Tract 209.01, Canyon County, Idaho",16027020901,11808,14136,58421,"56,840",20.2119101,24.19677856,20.77410274,24.86980999,1656,1656,5908
1400000US16027020902,"Census Tract 209.02, Canyon County, Idaho",16027020902,12516,14160,56740,"56,840",22.05851251,24.95593937,22.01970443,24.91203378,888,888,4471
1400000US16027021001,"Census Tract 210.01, Canyon County, Idaho",16027021001,10356,12492,44665,"56,840",23.18593977,27.96820777,18.21956369,21.97748065,924,900,2665
1400000US16027021002,"Census Tract 210.02, Canyon County, Idaho",16027021002,8628,8088,39389,"56,840",21.90459265,20.53365153,15.17945109,14.2294159,1584,2136,3635
1400000US16027021100,"Census Tract 211, Canyon County, Idaho",16027021100,11664,13404,55110,"56,840",21.16494284,24.32226456,20.52076003,23.58198452,636,648,3671
1400000US16027021200,"Census Tract 212, Canyon County, Idaho",16027021200,8880,7932,36193,"56,840",24.5351311,21.91584008,15.62280084,13.95496129,1296,1896,4844
1400000US16027021300,"Census Tract 213, Canyon County, Idaho",16027021300,5976,7668,26259,"56,840",22.75791157,29.20141666,10.51372273,13.49049965,2136,1200,2873
1400000US16027021500,"Census Tract 215, Canyon County, Idaho",16027021500,6924,8556,23234,"56,840",29.80115348,36.82534217,12.18156228,15.05277973,564,672,5014
1400000US16027021600,"Census Tract 216, Canyon County, Idaho",16027021600,7116,8136,32333,"56,840",22.00847431,25.16314601,12.51935257,14.31386348,1344,1788,2949
1400000US16027021700,"Census Tract 217, Canyon County, Idaho",16027021700,8148,10656,41600,"56,840",19.58653846,25.61538462,14.33497537,18.74736101,852,924,4331
1400000US16027021800,"Census Tract 218, Canyon County, Idaho",16027021800,7548,13056,56858,"56,840",13.27517676,22.9624679,13.27938072,22.96973962,2352,1476,5448
1400000US16027021901,"Census Tract 219.01, Canyon County, Idaho",16027021901,9492,12876,42364,"56,840",22.40581626,30.39373053,16.69950739,22.65306122,876,828,7486
