GEO_ID,id_Fix,NAME,percentlingis,B16005_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_018E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E
id,id_Fix,Geographic Area Name,percentlingis,Estimate!!Total,"Estimate!!Total!!Native!!Speak Spanish!!Speak English not well""""","Estimate!!Total!!Native!!Speak Spanish!!Speak English not at all""""","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English not well""""","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English not at all""""","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English not well""""","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English not at all""""","Estimate!!Total!!Native!!Speak other languages!!Speak English not well""""","Estimate!!Total!!Native!!Speak other languages!!Speak English not at all""""","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English not well""""","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English not at all""""","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English not well""""","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English not at all""""","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English not well""""","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English not at all""""","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English not well""""","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English not at all"""""
1400000US16027021200,16027021200,"Census Tract 212, Canyon County, Idaho",8.228905597,7182,27,29,0,0,0,0,0,0,389,146,0,0,0,0,0,0
1400000US16027021100,16027021100,"Census Tract 211, Canyon County, Idaho",0.175870559,17058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
1400000US16027021002,16027021002,"Census Tract 210.02, Canyon County, Idaho",6.259952229,10048,38,0,17,0,0,0,0,0,239,293,42,0,0,0,0,0
1400000US16027021001,16027021001,"Census Tract 210.01, Canyon County, Idaho",7.388562419,13954,106,0,17,0,0,0,0,0,658,250,0,0,0,0,0,0
1400000US16027020902,16027020902,"Census Tract 209.02, Canyon County, Idaho",2.405403543,14509,25,0,0,0,0,0,0,0,129,195,0,0,0,0,0,0
1400000US16027020901,16027020901,"Census Tract 209.01, Canyon County, Idaho",3.748305288,12539,58,0,0,0,0,0,0,0,142,78,143,49,0,0,0,0
1400000US16027020700,16027020700,"Census Tract 207, Canyon County, Idaho",1.335559265,3594,15,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
1400000US16027020602,16027020602,"Census Tract 206.02, Canyon County, Idaho",4.223714802,7742,20,0,0,0,0,0,0,0,142,165,0,0,0,0,0,0
1400000US16027020601,16027020601,"Census Tract 206.01, Canyon County, Idaho",1.922030825,5515,22,0,0,0,0,0,0,0,43,10,0,0,19,12,0,0
1400000US16027020504,16027020504,"Census Tract 205.04, Canyon County, Idaho",1.814237823,5071,27,0,0,0,0,0,0,0,59,6,0,0,0,0,0,0
1400000US16027020503,16027020503,"Census Tract 205.03, Canyon County, Idaho",0.87657784,2852,9,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
1400000US16027020501,16027020501,"Census Tract 205.01, Canyon County, Idaho",0.87191822,3326,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
1400000US16027020402,16027020402,"Census Tract 204.02, Canyon County, Idaho",3.687130839,5587,0,19,0,0,0,0,0,0,0,135,0,0,52,0,0,0
1400000US16027020401,16027020401,"Census Tract 204.01, Canyon County, Idaho",5.845871138,8707,0,0,0,0,0,0,0,0,346,137,0,0,26,0,0,0
1400000US16027020300,16027020300,"Census Tract 203, Canyon County, Idaho",1.823638042,4332,29,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
1400000US16027020200,16027020200,"Census Tract 202, Canyon County, Idaho",3.551000953,4196,56,12,0,0,0,0,0,0,52,29,0,0,0,0,0,0
1400000US16027020100,16027020100,"Census Tract 201, Canyon County, Idaho",0.914285714,875,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
