"GEO_ID","NAME","S2303_C01_001E","S2303_C01_001M","S2303_C01_002E","S2303_C01_002M","S2303_C01_003E","S2303_C01_003M","S2303_C01_004E","S2303_C01_004M","S2303_C01_005E","S2303_C01_005M","S2303_C01_006E","S2303_C01_006M","S2303_C01_007E","S2303_C01_007M","S2303_C01_008E","S2303_C01_008M","S2303_C01_009E","S2303_C01_009M","S2303_C01_010E","S2303_C01_010M","S2303_C01_011E","S2303_C01_011M","S2303_C01_012E","S2303_C01_012M","S2303_C01_013E","S2303_C01_013M","S2303_C01_014E","S2303_C01_014M","S2303_C01_015E","S2303_C01_015M","S2303_C01_016E","S2303_C01_016M","S2303_C01_017E","S2303_C01_017M","S2303_C01_018E","S2303_C01_018M","S2303_C01_019E","S2303_C01_019M","S2303_C01_020E","S2303_C01_020M","S2303_C01_021E","S2303_C01_021M","S2303_C02_001E","S2303_C02_001M","S2303_C02_002E","S2303_C02_002M","S2303_C02_003E","S2303_C02_003M","S2303_C02_004E","S2303_C02_004M","S2303_C02_005E","S2303_C02_005M","S2303_C02_006E","S2303_C02_006M","S2303_C02_007E","S2303_C02_007M","S2303_C02_008E","S2303_C02_008M","S2303_C02_009E","S2303_C02_009M","S2303_C02_010E","S2303_C02_010M","S2303_C02_011E","S2303_C02_011M","S2303_C02_012E","S2303_C02_012M","S2303_C02_013E","S2303_C02_013M","S2303_C02_014E","S2303_C02_014M","S2303_C02_015E","S2303_C02_015M","S2303_C02_016E","S2303_C02_016M","S2303_C02_017E","S2303_C02_017M","S2303_C02_018E","S2303_C02_018M","S2303_C02_019E","S2303_C02_019M","S2303_C02_020E","S2303_C02_020M","S2303_C02_021E","S2303_C02_021M","S2303_C03_001E","S2303_C03_001M","S2303_C03_002E","S2303_C03_002M","S2303_C03_003E","S2303_C03_003M","S2303_C03_004E","S2303_C03_004M","S2303_C03_005E","S2303_C03_005M","S2303_C03_006E","S2303_C03_006M","S2303_C03_007E","S2303_C03_007M","S2303_C03_008E","S2303_C03_008M","S2303_C03_009E","S2303_C03_009M","S2303_C03_010E","S2303_C03_010M","S2303_C03_011E","S2303_C03_011M","S2303_C03_012E","S2303_C03_012M","S2303_C03_013E","S2303_C03_013M","S2303_C03_014E","S2303_C03_014M","S2303_C03_015E","S2303_C03_015M","S2303_C03_016E","S2303_C03_016M","S2303_C03_017E","S2303_C03_017M","S2303_C03_018E","S2303_C03_018M","S2303_C03_019E","S2303_C03_019M","S2303_C03_020E","S2303_C03_020M","S2303_C03_021E","S2303_C03_021M"
"1400000US16027021300","Census Tract 213, Canyon County, Idaho","2258","345","29.2","5.7","6.5","3.7","8.5","6.4","9.3","4.6","10.4","4.8","36.0","5.4","45.0","6.1","26.7","6.0","22.6","5.6","16.5","5.1","8.6","5.4","6.3","3.6","2.4","2.8","0.4","0.7","0.2","0.4","36.0","5.4","37.3","2.4","3.9","(X)","3.1","(X)","3.7","(X)","1319","266","29.0","9.1","10.4","6.4","10.4","10.0","10.8","5.7","11.0","6.2","28.4","7.1","63.2","8.0","34.2","9.5","27.7","9.0","8.0","5.4","4.9","4.8","1.0","1.4","0.4","0.6","0.4","0.6","0.4","0.6","28.4","7.1","41.9","1.7","(X)","(X)","(X)","(X)","(X)","(X)","939","159","29.4","9.7","1.1","1.4","6.0","4.9","7.2","4.8","9.6","8.0","46.8","11.0","19.5","7.3","16.1","6.5","15.5","6.4","28.4","8.3","13.8","8.4","13.8","8.4","5.3","6.7","0.5","1.2","0.0","3.1","46.8","11.0","28.6","4.0","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027021500","Census Tract 215, Canyon County, Idaho","3507","399","31.6","5.6","8.6","4.6","4.3","2.2","6.5","2.5","15.9","5.5","33.0","6.6","31.8","5.2","21.8","4.6","18.0","4.2","27.8","5.9","14.4","5.5","9.8","4.6","7.4","2.3","4.0","1.8","3.9","1.8","33.0","6.6","31.8","1.7","12.5","(X)","12.6","(X)","12.9","(X)","1793","292","33.7","7.7","12.4","8.2","5.1","4.0","6.0","4.3","14.2","5.7","28.6","9.0","37.9","7.7","28.8","7.3","23.6","6.7","26.4","8.5","12.7","8.1","5.6","4.6","7.1","3.8","4.7","3.2","4.5","3.1","28.6","9.0","32.9","2.5","(X)","(X)","(X)","(X)","(X)","(X)","1714","252","29.5","6.9","4.7","2.9","3.4","2.4","7.1","2.9","17.7","7.4","37.6","7.7","25.3","5.8","14.5","5.1","12.0","4.4","29.3","8.0","16.3","6.3","14.2","6.4","7.8","3.3","3.4","2.2","3.3","2.1","37.6","7.7","30.5","2.7","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027021600","Census Tract 216, Canyon County, Idaho","2706","355","45.3","8.4","6.5","4.0","10.2","5.0","7.8","4.1","11.5","6.3","18.8","5.1","61.2","7.2","44.6","8.3","42.1","8.6","14.7","4.3","4.8","3.2","2.5","2.4","5.4","3.7","2.3","2.6","0.7","0.7","18.8","5.1","39.4","2.8","11.4","(X)","10.9","(X)","9.7","(X)","1336","279","55.0","13.8","2.2","2.2","5.6","4.0","4.0","4.6","13.8","10.7","19.3","7.8","72.2","9.0","54.4","13.8","52.8","13.6","8.0","5.1","2.4","2.4","1.7","2.1","0.4","0.8","0.4","0.8","0.4","0.8","19.3","7.8","45.0","4.1","(X)","(X)","(X)","(X)","(X)","(X)","1370","217","35.8","8.7","10.6","7.5","14.7","9.3","11.5","6.7","9.2","6.2","18.3","6.4","50.4","11.5","35.0","8.0","31.5","8.9","21.2","7.7","7.2","6.2","3.4","4.2","10.1","6.7","4.1","5.0","0.9","1.3","18.3","6.4","33.9","3.3","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027021700","Census Tract 217, Canyon County, Idaho","6377","542","56.2","3.6","7.6","2.5","3.9","1.7","3.7","1.6","6.4","2.6","22.3","3.9","59.7","5.0","52.9","4.5","48.3","4.1","15.1","3.7","10.1","3.4","7.4","2.9","2.9","1.4","0.8","0.9","0.5","0.8","22.3","3.9","38.0","1.3","3.2","(X)","5.6","(X)","4.6","(X)","3156","340","64.0","5.3","4.0","2.9","3.8","2.1","4.4","2.6","6.2","3.7","17.6","5.6","73.6","6.0","63.9","6.0","60.9","5.7","7.1","3.1","2.8","2.0","2.1","1.9","1.8","1.8","1.3","1.7","1.0","1.5","17.6","5.6","41.8","1.6","(X)","(X)","(X)","(X)","(X)","(X)","3221","317","48.5","6.6","11.1","4.3","4.0","2.4","2.9","2.1","6.6","3.8","26.9","5.8","46.2","7.8","42.1","7.3","35.9","7.6","23.0","6.3","17.3","6.1","12.6","5.2","3.9","2.1","0.2","0.4","0.0","0.9","26.9","5.8","33.8","1.8","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027021800","Census Tract 218, Canyon County, Idaho","3572","312","53.6","4.9","6.9","2.0","4.5","2.2","4.1","1.8","6.7","2.5","24.2","4.8","56.9","5.3","50.3","5.7","46.4","5.3","13.9","3.4","8.5","2.8","6.3","2.4","4.9","1.9","1.7","1.1","1.0","0.9","24.2","4.8","38.3","2.3","5.8","(X)","4.3","(X)","4.3","(X)","1609","180","64.9","7.9","3.7","2.3","5.5","3.7","6.7","3.4","6.1","3.8","13.2","5.6","74.5","7.6","63.6","8.3","60.1","8.1","9.5","4.7","4.7","3.8","4.5","3.8","2.9","2.4","0.3","0.5","0.3","0.5","13.2","5.6","41.3","2.3","(X)","(X)","(X)","(X)","(X)","(X)","1963","202","44.3","7.1","9.5","3.8","3.7","3.1","2.0","1.7","7.2","3.8","33.3","7.1","42.5","7.3","39.5","7.3","35.1","7.4","17.6","4.7","11.6","3.9","7.7","3.0","6.6","3.3","2.8","2.0","1.5","1.7","33.3","7.1","35.2","3.1","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027021901","Census Tract 219.01, Canyon County, Idaho","3221","327","52.5","5.4","4.0","2.2","6.1","3.2","5.2","2.9","4.9","2.7","27.3","6.3","56.5","6.5","47.2","5.8","44.6","6.0","13.8","4.9","8.7","3.7","7.7","3.4","2.4","1.9","0.7","0.8","0.2","0.3","27.3","6.3","38.9","1.9","5.0","(X)","4.9","(X)","6.0","(X)","1585","206","49.1","8.7","5.0","4.0","4.4","4.3","9.0","5.9","3.3","2.2","29.2","8.9","61.7","9.2","49.0","8.8","45.9","8.9","6.2","4.7","5.1","4.4","3.2","2.7","2.9","2.6","0.0","1.9","0.0","1.9","29.2","8.9","42.4","2.7","(X)","(X)","(X)","(X)","(X)","(X)","1636","183","55.8","8.6","2.9","2.5","7.8","5.4","1.7","1.5","6.4","4.6","25.5","8.2","51.4","8.9","45.4","8.9","43.3","8.8","21.3","6.9","12.1","5.8","12.1","5.8","1.8","1.8","1.3","1.6","0.4","0.7","25.5","8.2","35.6","2.2","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027021903","Census Tract 219.03, Canyon County, Idaho","5883","624","48.4","4.3","5.0","2.3","6.6","3.5","4.7","2.8","4.9","2.0","30.5","5.4","56.1","5.3","47.1","5.1","44.5","4.7","10.3","3.7","5.6","2.8","3.4","1.9","3.1","1.7","0.7","0.7","0.4","0.5","30.5","5.4","41.4","2.4","8.1","(X)","11.7","(X)","11.0","(X)","2678","331","61.0","6.4","6.1","3.2","4.6","3.6","4.6","3.4","2.8","2.6","20.9","6.7","74.8","7.0","65.5","6.7","59.9","6.6","2.5","2.3","1.0","1.2","0.4","0.8","1.8","1.9","0.7","1.0","0.7","1.0","20.9","6.7","47.3","4.1","(X)","(X)","(X)","(X)","(X)","(X)","3205","415","37.8","6.5","4.1","4.0","8.2","5.0","4.9","4.1","6.6","3.4","38.4","8.2","40.5","7.4","31.7","6.7","31.7","6.7","16.8","6.1","9.5","5.1","5.9","3.2","4.3","3.0","0.6","1.0","0.2","0.4","38.4","8.2","35.0","2.7","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027021904","Census Tract 219.04, Canyon County, Idaho","2082","341","40.1","5.2","8.1","3.2","8.9","4.3","6.9","3.5","8.4","3.5","27.6","5.0","53.3","4.1","37.7","5.0","32.3","5.1","17.0","4.2","9.3","3.8","6.6","3.0","2.1","1.6","1.2","1.6","1.2","1.6","27.6","5.0","41.0","2.2","9.1","(X)","8.2","(X)","6.2","(X)","1060","200","40.2","7.9","10.2","5.2","12.5","8.7","12.4","6.6","1.9","1.6","22.8","6.4","67.4","5.9","45.5","7.9","36.4","7.5","9.6","5.7","4.7","3.1","3.6","2.9","0.2","0.4","0.2","0.4","0.2","0.4","22.8","6.4","45.6","4.3","(X)","(X)","(X)","(X)","(X)","(X)","1022","162","39.9","7.3","6.0","3.7","5.1","3.2","1.3","1.0","15.2","7.3","32.6","8.4","38.7","6.8","29.5","5.3","28.0","5.4","24.7","8.3","14.1","6.1","9.7","5.9","4.0","3.3","2.3","3.2","2.3","3.2","32.6","8.4","35.7","2.6","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027022100","Census Tract 221, Canyon County, Idaho","2961","279","47.8","4.9","5.8","2.6","5.7","2.6","4.4","2.0","4.4","2.0","31.9","4.5","52.5","3.4","44.2","4.0","39.9","4.6","12.6","3.3","8.3","2.8","6.8","2.3","3.0","1.6","1.2","0.9","1.1","0.8","31.9","4.5","40.2","1.9","5.0","(X)","6.8","(X)","5.4","(X)","1495","174","53.5","7.7","6.8","4.0","5.2","3.7","5.9","3.0","3.9","2.5","24.7","6.1","67.4","6.7","56.7","7.2","51.0","7.5","7.5","2.7","3.2","2.2","2.1","1.7","0.4","0.6","0.4","0.6","0.4","0.6","24.7","6.1","46.1","3.0","(X)","(X)","(X)","(X)","(X)","(X)","1466","183","42.0","9.8","4.9","2.9","6.2","4.0","2.8","2.6","4.9","3.3","39.2","9.0","37.3","6.8","31.5","7.7","28.6","8.2","17.9","6.5","13.4","5.7","11.7","4.7","5.7","3.1","2.0","1.4","1.8","1.4","39.2","9.0","32.8","2.5","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027022200","Census Tract 222, Canyon County, Idaho","2977","329","52.0","3.3","6.4","2.1","5.1","2.4","4.2","1.6","8.5","2.8","23.8","3.0","55.7","5.0","46.9","4.7","42.0","4.2","15.0","3.7","10.3","3.3","9.4","3.3","5.4","2.5","1.3","0.9","0.7","0.6","23.8","3.0","38.4","1.8","6.1","(X)","6.3","(X)","5.2","(X)","1548","224","58.1","5.1","7.8","3.4","7.1","3.8","3.0","2.1","8.7","3.9","15.2","3.3","70.0","7.5","58.3","7.9","51.7","6.7","8.1","3.7","6.5","3.6","5.9","3.6","6.7","3.8","1.2","1.3","0.5","0.8","15.2","3.3","41.7","2.5","(X)","(X)","(X)","(X)","(X)","(X)","1429","168","45.4","5.5","4.9","2.5","2.9","2.0","5.4","2.6","8.3","4.3","33.2","5.5","40.2","5.5","34.4","5.6","31.4","5.6","22.6","5.5","14.5","4.3","13.2","4.2","4.1","2.9","1.4","1.2","0.8","1.0","33.2","5.5","33.9","2.1","(X)","(X)","(X)","(X)","(X)","(X)"
