"S2504_C01_029E","Occupied housing units!!Estimate!!VEHICLES AVAILABLE!!3 or more vehicles available",
"S2504_C01_029M","Occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!3 or more vehicles available",
"S2504_C01_030E","Occupied housing units!!Estimate!!TELEPHONE SERVICE AVAILABLE!!With telephone service",
"S2504_C01_030M","Occupied housing units!!Margin of Error!!TELEPHONE SERVICE AVAILABLE!!With telephone service",
"S2504_C01_031E","Occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Utility gas",
"S2504_C01_031M","Occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Utility gas",
"S2504_C01_032E","Occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas",
"S2504_C01_032M","Occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas",
"S2504_C01_033E","Occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Electricity",
"S2504_C01_033M","Occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Electricity",
"S2504_C01_034E","Occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.",
"S2504_C01_034M","Occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.",
"S2504_C01_035E","Occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Coal or coke",
"S2504_C01_035M","Occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Coal or coke",
"S2504_C01_036E","Occupied housing units!!Estimate!!HOUSE HEATING FUEL!!All other fuels",
"S2504_C01_036M","Occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!All other fuels",
"S2504_C01_037E","Occupied housing units!!Estimate!!HOUSE HEATING FUEL!!No fuel used",
"S2504_C01_037M","Occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!No fuel used",
"S2504_C02_001E","Owner-occupied housing units!!Estimate!!Occupied housing units",
"S2504_C02_001M","Owner-occupied housing units!!Margin of Error!!Occupied housing units",
"S2504_C02_002E","Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached",
"S2504_C02_002M","Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached",
"S2504_C02_003E","Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, attached",
"S2504_C02_003M","Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, attached",
"S2504_C02_004E","Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!2 apartments",
"S2504_C02_004M","Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!2 apartments",
"S2504_C02_005E","Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!3 or 4 apartments",
"S2504_C02_005M","Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!3 or 4 apartments",
"S2504_C02_006E","Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!5 to 9 apartments",
"S2504_C02_006M","Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!5 to 9 apartments",
"S2504_C02_007E","Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!10 or more apartments",
"S2504_C02_007M","Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!10 or more apartments",
"S2504_C02_008E","Owner-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!Mobile home or other type of housing",
"S2504_C02_008M","Owner-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!Mobile home or other type of housing",
"S2504_C02_009E","Owner-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!2010 or later",
"S2504_C02_009M","Owner-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!2010 or later",
"S2504_C02_010E","Owner-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!2000 to 2009",
"S2504_C02_010M","Owner-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!2000 to 2009",
"S2504_C02_011E","Owner-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1980 to 1999",
"S2504_C02_011M","Owner-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1980 to 1999",
"S2504_C02_012E","Owner-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1960 to 1979",
"S2504_C02_012M","Owner-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1960 to 1979",
