match,Occupation,Year,Total_employed,Total_employed,Percent_employed
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2014,6830,79002,8.645350751
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2014,6018,79002,7.61752867
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2014,4463,79002,5.64922407
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2014,3834,79002,4.853041695
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,2014,3568,79002,4.516341358
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",Healthcare practitioners and technical occupations,2014,3635,79002,4.601149338
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2015,11690,81460,14.35060152
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2015,7965,81460,9.777805058
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2015,8192,81460,10.05646943
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2015,6344,81460,7.787871348
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2015,6941,81460,8.520746379
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2015,5763,81460,7.074637859
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2015,4945,81460,6.070464031
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2015,3999,81460,4.909157869
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,2015,3578,81460,4.392339799
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",Healthcare practitioners and technical occupations,2015,3396,81460,4.16891726
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2016,12300,85579,14.37268489
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2016,8778,85579,10.25718926
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2016,8401,85579,9.816660629
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2016,6642,85579,7.761249839
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2016,6801,85579,7.947043083
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2016,5852,85579,6.838126176
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2016,5101,85579,5.96057444
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2016,4350,85579,5.083022704
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,2016,3790,85579,4.428656563
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",Healthcare practitioners and technical occupations,2016,4031,85579,4.710267706
Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2017,12094,88055,13.73459769
"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2017,9620,88055,10.92499006
Estimate!!Total!!Civilian employed population 16 years and over!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2017,8657,88055,9.831355403
"Estimate!!Total!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2017,6950,88055,7.892794276
"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2017,6595,88055,7.489637159
"Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2017,5929,88055,6.733291693
Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2017,4795,88055,5.445460224
"Estimate!!Total!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2017,4935,88055,5.604451763
Estimate!!Total!!Civilian employed population 16 years and over!!Service occupations!!Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,2017,3879,88055,4.405201295
"Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",Healthcare practitioners and technical occupations,2017,4061,88055,4.611890296
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2018,11240,,12.70305358
"Total!!Estimate!!Sales and office occupations!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2018,10199,,11.52591558
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2018,9006,,9.825120278
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2018,7432,,8.107960682
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2018,6400,,6.982097466
"Total!!Estimate!!Sales and office occupations!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2018,6212,,6.776998353
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2018,4971,,5.423126016
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Transportation occupations,2018,4959,,5.410034583
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,2018,4642,,5.064202568
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",Healthcare practitioners and technical occupations,2018,4227,,4.611457186
