GEO_ID,NAME,id_Fix,Food dessert,food_des_z,INDEX_AccesstoFood,Insured,Insured_z,INDEX_Insurance,Averagez,INDEXoverall,County,Census Tract,Ranking Overall,Quintile,Food Desert?,% Insured
id,Geographic Area Name,id_Fix,Food dessert,food_des_z,INDEX_AccesstoFood,Insured,Insured_z,INDEX_Insurance,Averagez,INDEXoverall,County,Census Tract,Ranking Overall,Quintile,Food Desert?,% Insured
1400000US41045970900,"Census Tract 9709, Malheur County, Oregon",41045970900,1,1.526571184,1,77.94457275,-1.34386371,5,0.182707474,3," Malheur County, Oregon","Census Tract 9709, Malheur County, Oregon",20,3,Yes,77.94457275
1400000US41045970700,"Census Tract 9707, Malheur County, Oregon",41045970700,0,-0.640175013,3,75.02764875,-1.866671686,5,-2.506846698,5," Malheur County, Oregon","Census Tract 9707, Malheur County, Oregon",42,5,No,75.02764875
1400000US41045970600,"Census Tract 9706, Malheur County, Oregon",41045970600,0,-0.640175013,3,83.66745283,-0.31813683,4,-0.958311843,4," Malheur County, Oregon","Census Tract 9706, Malheur County, Oregon",34,4,No,83.66745283
1400000US41045970500,"Census Tract 9705, Malheur County, Oregon",41045970500,0,-0.640175013,3,85.52717038,0.015185249,4,-0.624989764,4," Malheur County, Oregon","Census Tract 9705, Malheur County, Oregon",32,4,No,85.52717038
1400000US41045970400,"Census Tract 9704, Malheur County, Oregon",41045970400,1,1.526571184,1,80.68525361,-0.852644256,4,0.673926929,2," Malheur County, Oregon","Census Tract 9704, Malheur County, Oregon",11,2,Yes,80.68525361
1400000US41045970300,"Census Tract 9703, Malheur County, Oregon",41045970300,0,-0.640175013,3,88.82434302,0.606146189,2,-0.034028824,3," Malheur County, Oregon","Census Tract 9703, Malheur County, Oregon",23,3,No,88.82434302
1400000US41045970200,"Census Tract 9702, Malheur County, Oregon",41045970200,0,-0.640175013,3,86.7716008,0.238227793,3,-0.40194722,4," Malheur County, Oregon","Census Tract 9702, Malheur County, Oregon",28,4,No,86.7716008
1400000US41045940000,"Census Tract 9400, Malheur County, Oregon",41045940000,0,-0.640175013,3,80.26222537,-0.928464722,5,-1.568639735,5," Malheur County, Oregon","Census Tract 9400, Malheur County, Oregon",38,5,No,80.26222537
1400000US16087970300,"Census Tract 9703, Washington County, Idaho",16087970300,0,-0.640175013,3,86.71435871,0.227968142,3,-0.412206871,4," Washington County, Idaho","Census Tract 9703, Washington County, Idaho",29,4,No,86.71435871
1400000US16087970200,"Census Tract 9702, Washington County, Idaho",16087970200,0,-0.640175013,3,79.48750316,-1.067320226,5,-1.707495239,5," Washington County, Idaho","Census Tract 9702, Washington County, Idaho",39,5,No,79.48750316
1400000US16087970100,"Census Tract 9701, Washington County, Idaho",16087970100,0,-0.640175013,3,90.59251559,0.92306042,1,0.282885408,3," Washington County, Idaho","Census Tract 9701, Washington County, Idaho",18,3,No,90.59251559
1400000US16075960400,"Census Tract 9604, Payette County, Idaho",16075960400,0,-0.640175013,3,90.2528668,0.862184273,1,0.22200926,3," Payette County, Idaho","Census Tract 9604, Payette County, Idaho",19,3,No,90.2528668
1400000US16075960300,"Census Tract 9603, Payette County, Idaho",16075960300,0,-0.640175013,3,93.79522315,1.497090137,1,0.856915125,2," Payette County, Idaho","Census Tract 9603, Payette County, Idaho",10,2,No,93.79522315
